Instrument;last Time;Kaufpreis;last Price;TakeProfit;StopLoss;macd;macdTrigger;parabolicSAR;ema
USD_HKD;2022-06-03T14:30;-1999,522644;7,844000;7,813000;7,860000;0,000019;0,000019;7,844984;7,845424
NZD_USD;2022-06-03T14:30;-1999,522644;0,651000;0,648000;0,653000;-0,000736;-0,000696;0,651579;0,653067
EUR_CAD;2022-06-03T14:30;-1999,522644;1,347000;1,342000;1,350000;-0,000830;-0,000817;1,347508;1,351774
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
EUR_CZK;2022-06-03T14:30;-1999,522644;24,683000;24,584000;24,733000;-0,000053;0,000711;24,683694;24,701468
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
EUR_ZAR;2022-06-03T14:30;-1999,522644;16,631000;16,564000;16,665000;0,008511;0,008912;16,677082;16,631062
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
TRY_JPY;2022-06-03T14:30;-1999,522644;7,800000;7,769000;7,816000;-0,002032;0,002927;7,846005;7,874688
